Time,RPM,Boost,Spark,IAT,AFR
0.00,920,-9.8,19.5,82,14.7
0.25,1100,-8.4,21.0,82,14.6
0.50,1480,-5.1,24.0,83,14.5
0.75,1920,-1.8,25.5,84,14.2
1.00,2380,2.4,22.5,86,13.4
1.25,2760,6.8,18.8,88,12.6
1.50,3160,10.9,15.7,91,12.0
1.75,3540,14.2,12.8,96,11.8
2.00,3920,17.4,10.4,101,11.6
2.25,4280,19.1,8.7,107,11.5
2.50,4660,20.3,7.4,113,11.4
2.75,5040,21.2,6.2,119,11.4
3.00,5380,21.6,5.8,124,11.3
3.25,5740,21.4,5.6,129,11.3
3.50,6080,20.8,6.1,133,11.4
3.75,6420,19.6,7.2,136,11.5
4.00,6740,18.1,8.6,138,11.7
4.25,7040,16.4,10.2,139,11.9
4.50,7280,13.8,12.4,137,12.1
4.75,6820,3.2,18.8,134,13.4
5.00,6120,-1.4,24.0,130,14.2
5.25,5320,-4.8,27.0,126,14.6
5.50,4520,-7.5,28.2,121,14.7
5.75,3820,-8.8,26.8,116,14.7
6.00,3180,-9.4,24.9,111,14.6
6.25,2480,-9.9,21.5,106,14.6
6.50,1820,-10.1,18.8,101,14.7
6.75,1180,-10.4,17.5,97,14.7
7.00,940,-10.6,16.8,94,14.7
7.25,1360,-6.8,23.4,93,14.5
7.50,2060,0.6,24.1,94,13.8
7.75,2860,8.9,17.9,98,12.3
8.00,3660,15.7,11.8,104,11.8
8.25,4460,20.8,7.0,112,11.4
8.50,5260,22.1,4.8,121,11.2
8.75,6020,21.7,5.2,131,11.3
9.00,6760,19.2,8.2,140,11.8
9.25,7200,15.6,11.7,144,12.2
9.50,6480,1.4,21.5,139,13.7
9.75,5200,-4.9,27.2,132,14.5
10.00,3900,-8.6,28.0,124,14.7
